daily [‘deili] a.每日的n.日报
distinction [dis’tiŋkʃən] n.差别,不同,区分
distinguish [dis’tiŋɡwiʃ] vt.区别,辨别,认别
distress [dis’tres] n.忧虑,悲伤;不幸
distribute [dis’tribju:t] vt.分发,分送;分布
distribution [distri’bju:ʃən] n.分发,分配;分布
district [‘distrikt] n.区;地区,区域
disturb [dis’tə:b] vt.打扰,扰乱;弄乱
ditch [ditʃ] n.沟,沟渠,渠道
dive [daiv] vi.跳水;潜水;俯冲
diverse [dai’vəs，daɪ’vɜːs] a.不一样的,相异的
divide [di’vaid] vt.分;分配;分开
division [di’viʒən] n.分,分配;除法
divorce [di’vɔ:sei] n.离婚,离异vi.离婚
do [du:,du,də,d] aux.v.vt.做,干,办
dock [dɔk] n.船坞;码头;船厂
doctor [‘dɔktə] n.医生,医师;博士
document [‘dɔkjumənt] n.公文,文件;证件
dog [dɔɡ] n.狗,犬,犬科动物
dollar [‘dɔlə] n.元(货币单位)
domestic [də’mestik] a.本国的;家庭的
donkey ['dɔŋki] n.驴;笨蛋
door [dɔ:] n.门,通道;一家
dorm [dɔ:m] n.宿舍
dormitory [‘dɔ:mitri] n.集体寝室;宿舍
dose [dəus] n.剂量,用量;一剂
dot [dɔt] n.点,圆点vt.打点于
double [‘dʌbl] a.两倍的;双的
doubt [daut] n.怀疑;疑虑vt.怀疑
doubtful [‘dautful] a.难以预测的;怀疑的
doubtless [‘dautlis] ad.无疑地;很可能
down [daun] ad.向下,在下面
downstairs [‘daun’stɛəz] ad.在楼下a.楼下的
downward [‘daunwəd] a.向下的ad.向下地
dozen [‘dʌzn] n.一打,十二个
draft [drɑ:ft] n.草稿;汇票vt.起草
drag [dræɡ] vt.拖,拉;拖曳
dragon [‘dræɡən] n.龙;凶暴的人
drain [drein] vt.排去;放水n.耗竭
drama [‘drɑ:mə] n.一出戏剧,剧本
dramatic [drə’mætik] a.引人注目的,戏剧的
drawvt [drɔ:] .画,划;拖;拨出
drawer [drɔ:] n.抽屉
drawing [‘drɔ:ɪŋ] n.图画,素描;绘图
dread [dred] n.畏惧;恐怖vt.惧怕
dream [dri:m] n.梦;梦想vi.做梦
dress [dres] n.女服,童装;服装
drift [drift] vi.漂流,漂泊n.漂流
drill [dril] n.钻头;操练vi.钻孔
drink [driŋk] vt.饮vi.喝n.饮料
drip [drip] vi.滴下;漏水n.水滴
drive [draiv] vt.驾驶;打入;驱
driver [‘draivə] n.驾驶员,司机
drop [drɔp] vt.使落下;降低
drought [draut] n.旱灾,干旱
drown [draun] vi.淹死,溺死
drug [drʌɡ] n.药,药物,药材
drum [drʌm] n.鼓;鼓状物,圆桶
drunk [drʌŋk] a.醉的;陶醉的
dry [drai] a.干的,干燥的
duck [dʌk] n.鸭,雌鸭;鸭肉
due [dju:] a.预期的;应给的
dull [dʌl] a.枯燥的;不鲜明的
dumb [dʌm] a.哑的;无言的
dump [dʌmp] vt.倾卸,倾倒;倾销
durable [‘djuərəbl] a.耐久的,耐用的
duration [djuə’reiʃən] n.持续,持久
during [‘djuəriŋ] prep.在…期间
dusk [dʌsk] n.薄暮,黄昏,幽暗
dust [dʌst] n.尘土,灰尘
duty [‘dju:ti] n.职责;责任;税
dwelling [‘dwelɪŋ] n.住处,寓所
dye [dai] vt.染n.染料;染色
dying [‘daɪɪŋ] a.垂死的;临终的
dynamic [dai’næmik] a.有活力的;动力的
