I /ai/ pron.(主格)我
increasingly /in’kri:siŋli/ ad.日益，越来越多地
indeed /in’di:d/ ad.真正地;确实
independence /indi’pendəns/ n.独立，自主，自立
independent /indi’pendənt/ a.独立的;自主的
index /‘indeks/ n.索引;指数;指标
Indian /‘indiən/ a.印度的n.印度人
indicate /‘indikeit/ vt.标示，表示;表明
indication /indi’keiʃən/ n.指示;表示;表明
indifferent /in’difrənt/ a.冷漠的;不积极的
indirect /indi’rekt/ a.间接的;不坦率的
indispensable /indis’pensəbl/ a.必不可少的，必需的
individual /indi’vidjuəl/ a.个别的;独特的
indoors /in’dɔ:z/ ad.在室内，在屋里
industrial /in’dΛstriəl/ a.工业的;产业的
industrialize /in’dΛstriəlaiz/ vt.使工业化
industry /‘indəstri/ n.工业，产业;勤劳
inevitable /in’evitəbl/ a.不可避免的，必然的
infant /‘infənt/ n.婴儿a.婴儿的
infect /in’fekt/ vt.传染;感染
infer /in’fə:/ vt.推论，推断;猜想
inferior /in’fiəriə/ a.下等的;劣等的
infinite /‘infinit/ a.无限的;无数的
influence /‘influəns/ n.影响;势力vt.影响
influential /influ’enʃəl/ a.有影响的;有权势的
inform /in’fɔ:m/ vt.通知，向…报告
information /infə’meiʃən/ n.消息，信息;通知
inhabitant /in’hæbitənt/ n.居民，住户
inherit /in’herit/ vt.继承(传统等)
initial /i’niʃəl/ a.最初的;词首的
injection /in’dʒekʃən/ n.注射，注入;充满
injure /‘indʒə/ vt.伤害，损害，损伤
injury /‘indʒəri/ n.损害，伤害;受伤处
ink /iŋk/ n.墨水，油墨
inn /in/ n.小旅店;小酒店
inner /‘inə/ a.内部的;内心的
innocent /‘inəsnt/ a.清白的，幼稚的
input /‘input/ n.输入;投入的资金
inquire /in’kwaiə/ vt.打听，询问;调查
inquiry /in’kwaiəri/ n.询问，打听;调查
insect /‘insekt/ n.昆虫，虫
insert /in’sə:t,‘insə:t/ vt.插入;嵌入;登载
inside /in’said/ prep.在…里面n.内部
insist /in’sist/ vi.坚持;坚持要求
inspect /in’spekt/ vt.检查，审查;检阅
inspire /in’spaiə/ vt.鼓舞;给…以灵感
install /in’stɔ:l/ vt.安装，设置
installation /instə’leiʃən/ n.安装;装置;设施
instance /‘instəns/ n.例子，实例，事例
instant /‘instənt/ n.瞬间a.立即的
instead /in’sted/ ad.代替，顶替;反而
instinct /‘instiŋkt/ n.本能;直觉;生性
institute /‘institju:t/ n.研究所;学院
institution /insti’tju:ʃən/ n.协会;制度，习俗
instruct /in’strΛkt/ vt.教;指示;通知
instruction /in’strΛkʃən/ n.命令;教学;教训
instrument /‘instrumənt/ n.仪器;工具;乐器
insult /‘insΛlt,in’sΛlt/ vt.&n.侮辱，凌辱
insurance /in’ʃuərəns/ n.保险;保险费
insure /in’ʃuə/ vt.给…保险;确保
intellectual /inti’lektjuəl/ n.知识分子a.智力的
intelligence /in’telidʒəns/ n.智力;理解力;情报
intelligent /in’telidʒənt/ a.聪明的;理智的
intend /in’tend/ vt.想要，打算;意指
intense /in’tens/ a.强烈的;紧张的
intensity /in’tensiti/ n.强烈，剧烈;强度
intensive /in’tensiv/ a.加强的;精耕细作的
intention /in’tenʃən/ n.意图，意向，目的
interaction /intə’rækʃən/ n.相互作用;干扰
interest /‘intrist/ n.兴趣;利益;利息
interesting /‘intristiŋ/ a.有趣的，引人入胜的
interfere /intə’fiə/ vi.干涉，干预;妨碍
interference /intə’fiərəns/ n.干涉，干预;阻碍
interior /in’tiəriə/ a.内的;内地的n.内部
intermediate /intə’mi:djət/ a.中间的;中级的
internal /in’tə:nl/ a.内的;国内的
international /intə(:)’næʃənl/ a.国际的
interpret /in’tə:prit/ vt.解释，说明;口译
interpretation /intə:pri’teiʃən/ n.解释;口译
interrupt /intə’rΛpt/ vt.打断，打扰;中止
interval /‘intəvəl/ n.间隔;休息;间距
interview /‘intəvju:/ n.接见;会见;面谈
intimate /‘intimit/ a.亲密的;个人的
into /‘intu,‘intə/ prep.进，入;进入到
introduce /‘intrə’dju:s/ vt.介绍;引进，传入
introduction /intrə’dΛkʃən/ n.介绍;引进;引言
invade /in’veid/ vt.入侵，侵略;侵袭
invasion /in’veiʒən/ n.入侵，侵略;侵犯
invent /in’vent/ vt.发明，创造;捏造
invention /in’venʃən/ n.发明，创造;捏造
inventor /in’ventə/ n.发明者;发明家
invest /in’vest/ vt.投资;投入
investigate /in’vestigeit/ vt.&vi.调查
investment /in’vestmənt/ n.投资，投资额，投入
invisible /in’vizəbl/ a.看不见的，无形的
invitation /invi’teiʃən/ n.邀请，招待;请柬
invite /in’vait/ vt.邀请，聘请;招待
involve /in’vɔlv/ vt.使卷入;牵涉
inward /‘inwəd/ a.里面的ad.向内
iron /‘aiən/ n.铁;烙铁vt.烫(衣)
island /‘ailənd/ n.岛，岛屿
isolate /‘aisəleit/ vt.使隔离，使孤立
issue /‘iʃu:/ n.问题;发行vt.发行
it /it/ pron.这，那，它
Italian /i’tæljən/ a.意大利的n.意大利人
item /‘aitəm/ n.条，条款;一条
its /its/ pron.它的
itself /it’self/ pron.它自己;自身
